"userID","movieID","rating"
1,69689,1
1,12192,3
1,3428,1
1,1294,3
1,80679,4
1,5121,3
1,75297,3
1,22840,1
1,19613,3
1,38256,4
1,52550,5
1,81580,5
1,44825,2
1,34638,5
1,85230,1
1,6365,3
1,64690,5
1,76983,5
1,61172,5
1,24172,4
2,69689,5
2,12192,3
2,3428,4
2,1294,1
2,80679,3
2,5121,1
2,75297,4
2,22840,3
2,19613,4
2,38256,2
2,52550,4
2,81580,4
2,44825,2
2,34638,4
2,85230,1
2,6365,3
2,64690,5
2,76983,1
2,61172,4
2,24172,1
3,69689,2
3,12192,4
3,3428,1
3,1294,5
3,80679,1
3,5121,4
3,75297,5
3,22840,2
3,19613,3
3,38256,2
3,52550,3
3,81580,4
3,44825,3
3,34638,5
3,85230,2
3,6365,1
3,64690,1
3,76983,2
3,61172,5
3,24172,1
4,69689,5
4,12192,2
4,3428,4
4,1294,3
4,80679,4
4,5121,4
4,75297,5
4,22840,4
4,19613,2
4,38256,1
4,52550,1
4,81580,4
4,44825,3
4,34638,4
4,85230,1
4,6365,4
4,64690,3
4,76983,1
4,61172,3
4,24172,5
5,69689,2
5,12192,5
5,3428,4
5,1294,3
5,80679,1
5,5121,5
5,75297,2
5,22840,5
5,19613,1
5,38256,1
5,52550,4
5,81580,1
5,44825,2
5,34638,4
5,85230,3
5,6365,4
5,64690,3
5,76983,5
5,61172,5
5,24172,3
6,69689,1
6,12192,1
6,3428,1
6,1294,5
6,80679,1
6,5121,4
6,75297,5
6,22840,2
6,19613,3
6,38256,4
6,52550,1
6,81580,1
6,44825,4
6,34638,1
6,85230,5
6,6365,3
6,64690,4
6,76983,3
6,61172,5
6,24172,2
7,69689,2
7,12192,4
7,3428,2
7,1294,3
7,80679,1
7,5121,4
7,75297,1
7,22840,2
7,19613,2
7,38256,3
7,52550,4
7,81580,2
7,44825,3
7,34638,5
7,85230,5
7,6365,2
7,64690,1
7,76983,1
7,61172,4
7,24172,3
8,69689,3
8,12192,5
8,3428,5
8,1294,3
8,80679,2
8,5121,2
8,75297,1
8,22840,3
8,19613,5
8,38256,2
8,52550,5
8,81580,5
8,44825,2
8,34638,1
8,85230,4
8,6365,2
8,64690,2
8,76983,3
8,61172,2
8,24172,2
9,69689,3
9,12192,2
9,3428,1
9,1294,3
9,80679,4
9,5121,2
9,75297,2
9,22840,1
9,19613,3
9,38256,5
9,52550,2
9,81580,4
9,44825,3
9,34638,2
9,85230,2
9,6365,2
9,64690,2
9,76983,3
9,61172,4
9,24172,1
10,69689,5
10,12192,1
10,3428,4
10,1294,5
10,80679,4
10,5121,4
10,75297,2
10,22840,2
10,19613,1
10,38256,5
10,52550,4
10,81580,2
10,44825,4
10,34638,1
10,85230,4
10,6365,4
10,64690,4
10,76983,1
10,61172,2
10,24172,4
11,69689,2
11,12192,1
11,3428,3
11,1294,1
11,80679,5
11,5121,1
11,75297,4
11,22840,5
11,19613,3
11,38256,5
11,52550,5
11,81580,5
11,44825,1
11,34638,2
11,85230,3
11,6365,5
11,64690,4
11,76983,4
11,61172,3
11,24172,3
12,69689,1
12,12192,2
12,3428,5
12,1294,4
